id;lado;sentido;autorIniciais;autorNome;projeto;nota;data;texto;empresa;usuarioId;criterios
av-014;profissional;recebida;TE;TechSolut Engenharia;Laudo de instalações elétricas;4.5;05/04/2026;Entregou no prazo, com memorial claro e ART registrada.;sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.4}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.4}, {""rotulo"": ""Comunicação"", ""nota"": 4.8}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.3}]"
av-015;profissional;recebida;CA;Condomínio Industrial Aleixo;Projeto de estrutura metálica;4.5;23/03/2026;Entregou no prazo, com memorial claro e ART registrada.;sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.7}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.3}, {""rotulo"": ""Comunicação"", ""nota"": 4.4}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.1}]"
av-016;profissional;recebida;ES;Encontro das Águas Saneamento;Laudo de estrutura de concreto;3.5;25/02/2026;Projeto bem detalhado, reduziu retrabalho.;sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 3.3}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 3.4}, {""rotulo"": ""Comunicação"", ""nota"": 3.8}, {""rotulo"": ""Documentação entregue"", ""nota"": 3.0}]"
av-017;profissional;recebida;ES;Encontro das Águas Saneamento;Laudo de estrutura de concreto;5.0;14/09/2026;Recomendo: seguro nas decisões e cuidadoso com normas.;sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.9}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.9}, {""rotulo"": ""Comunicação"", ""nota"": 5.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.8}]"
av-018;profissional;recebida;TI;Tarumã Incorporadora;Projeto de estrutura metálica;5.0;06/08/2026;"Bom trabalho; houve um pequeno atraso na vistoria inicial.";sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.9}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.7}, {""rotulo"": ""Comunicação"", ""nota"": 5.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.8}]"
av-019;profissional;recebida;NP;Norte Projetos;Projeto elétrico industrial;4.5;24/07/2026;Muito técnico e disponível para reuniões.;sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.5}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.4}, {""rotulo"": ""Comunicação"", ""nota"": 4.6}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.2}]"
av-020;profissional;recebida;ES;Encontro das Águas Saneamento;Subestação abrigada de 500 kVA;5.0;18/06/2026;Resolveu um problema antigo da obra com uma solução simples.;sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.9}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.9}, {""rotulo"": ""Comunicação"", ""nota"": 5.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.7}]"
av-021;profissional;recebida;CA;Condomínio Industrial Aleixo;Usina solar de 300 kWp;5.0;17/05/2026;Projeto bem detalhado, reduziu retrabalho.;sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.9}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 5.0}, {""rotulo"": ""Comunicação"", ""nota"": 5.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.5}]"
av-022;profissional;recebida;FN;Fluvial Logística do Norte;Fiscalização de obra vertical;5.0;08/04/2026;"Bom trabalho; houve um pequeno atraso na vistoria inicial.";sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 5.0}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.7}, {""rotulo"": ""Comunicação"", ""nota"": 5.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.6}]"
av-023;profissional;recebida;IA;Igarapé Consultoria Ambiental;Projeto estrutural de edifício residencial;3.5;24/03/2026;"Bom trabalho; houve um pequeno atraso na vistoria inicial.";sim;u-prof-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 3.5}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 3.2}, {""rotulo"": ""Comunicação"", ""nota"": 3.8}, {""rotulo"": ""Documentação entregue"", ""nota"": 3.3}]"
av-024;profissional;realizada;HC;Hospital Cidade Nova;Reforço estrutural de galpão;4.0;04/08/2026;Boa comunicação durante todo o contrato.;sim;u-prof-demo;[]
av-025;profissional;realizada;PE;Ponta Negra Empreendimentos;Projeto estrutural de edifício residencial;4.0;23/07/2026;"Contrato claro; o acesso à cobertura atrasou dois dias.";sim;u-prof-demo;[]
av-026;profissional;realizada;TI;Tarumã Incorporadora;Reforço estrutural de galpão;5.0;15/06/2026;"Contrato claro; o acesso à cobertura atrasou dois dias.";sim;u-prof-demo;[]
av-027;profissional;realizada;CN;Climatiza Norte;Projeto de fundação profunda;4.0;08/05/2026;Empresa organizada, com documentação pronta para a ART.;sim;u-prof-demo;[]
av-028;profissional;realizada;PI;Prefeitura de Iranduba;Laudo de estrutura de concreto;4.0;20/04/2026;"Contrato claro; o acesso à cobertura atrasou dois dias.";sim;u-prof-demo;[]
av-029;profissional;realizada;PE;Ponta Negra Empreendimentos;Projeto estrutural de edifício residencial;4.0;25/03/2026;Empresa organizada, com documentação pronta para a ART.;sim;u-prof-demo;[]
av-030;empresa;recebida;SF;Sabrina Santos Farias;Subestação abrigada de 500 kVA;5.0;10/09/2026;Empresa organizada, com documentação pronta para a ART.;nao;u-emp-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 5.0}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.9}, {""rotulo"": ""Comunicação"", ""nota"": 5.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.7}]"
av-031;empresa;recebida;WB;Wagner Oliveira Barbosa;Retrofit de iluminação pública;5.0;12/08/2026;Boa comunicação durante todo o contrato.;nao;u-emp-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 5.0}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.7}, {""rotulo"": ""Comunicação"", ""nota"": 4.9}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.8}]"
av-032;empresa;recebida;FF;Fábio Vieira Ferreira;Subestação abrigada de 500 kVA;4.0;06/07/2026;Escopo bem definido e pagamento em dia.;nao;u-emp-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.1}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 3.7}, {""rotulo"": ""Comunicação"", ""nota"": 4.3}, {""rotulo"": ""Documentação entregue"", ""nota"": 3.7}]"
av-033;empresa;recebida;AT;Ana Menezes Teixeira;Usina solar de 300 kWp;4.0;13/06/2026;"Contrato claro; o acesso à cobertura atrasou dois dias.";nao;u-emp-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 3.9}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 3.9}, {""rotulo"": ""Comunicação"", ""nota"": 4.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 3.6}]"
av-034;empresa;recebida;CF;Carlos Vieira Farias;Retrofit de iluminação pública;5.0;22/05/2026;Equipe de obra colaborativa e acesso fácil ao canteiro.;nao;u-emp-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 5.0}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.8}, {""rotulo"": ""Comunicação"", ""nota"": 5.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.5}]"
av-035;empresa;recebida;LC;Leonardo Monteiro Costa;Laudo de instalações elétricas;4.5;03/04/2026;Escopo bem definido e pagamento em dia.;nao;u-emp-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.7}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.4}, {""rotulo"": ""Comunicação"", ""nota"": 4.7}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.4}]"
av-036;empresa;recebida;IM;Igor Souza Moraes;Laudo de instalações elétricas;4.0;26/03/2026;Equipe de obra colaborativa e acesso fácil ao canteiro.;nao;u-emp-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.1}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 3.7}, {""rotulo"": ""Comunicação"", ""nota"": 4.3}, {""rotulo"": ""Documentação entregue"", ""nota"": 3.5}]"
av-037;empresa;recebida;LC;Leonardo Santana Cardoso;Usina solar de 300 kWp;4.0;10/09/2026;"Contrato claro; o acesso à cobertura atrasou dois dias.";nao;u-emp-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 3.9}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 3.9}, {""rotulo"": ""Comunicação"", ""nota"": 4.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 3.8}]"
av-038;empresa;recebida;LM;Lucas Martins;Projeto elétrico industrial;5.0;12/08/2026;Empresa organizada, com documentação pronta para a ART.;nao;u-emp-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.9}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.8}, {""rotulo"": ""Comunicação"", ""nota"": 5.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.7}]"
av-039;empresa;recebida;FB;Fábio Oliveira Barbosa;Retrofit de iluminação pública;5.0;03/07/2026;Empresa organizada, com documentação pronta para a ART.;nao;u-emp-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 5.0}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.6}, {""rotulo"": ""Comunicação"", ""nota"": 5.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.7}]"
av-040;empresa;recebida;IO;Isabela Barbosa Oliveira;Projeto elétrico industrial;4.5;04/06/2026;Equipe de obra colaborativa e acesso fácil ao canteiro.;nao;u-emp-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.6}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.2}, {""rotulo"": ""Comunicação"", ""nota"": 4.5}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.2}]"
av-041;empresa;recebida;LC;Leonardo Santana Cardoso;Laudo de instalações elétricas;4.5;21/05/2026;Boa comunicação durante todo o contrato.;nao;u-emp-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.6}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.3}, {""rotulo"": ""Comunicação"", ""nota"": 4.4}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.4}]"
av-042;empresa;recebida;TS;Tatiane Vieira Soares;SPDA de centro de distribuição;5.0;27/04/2026;Equipe de obra colaborativa e acesso fácil ao canteiro.;nao;u-emp-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 4.9}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.7}, {""rotulo"": ""Comunicação"", ""nota"": 5.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.8}]"
av-043;empresa;recebida;JV;Juliana Tavares Vieira;SPDA de centro de distribuição;5.0;01/03/2026;Equipe de obra colaborativa e acesso fácil ao canteiro.;nao;u-emp-demo;"[{""rotulo"": ""Qualidade técnica"", ""nota"": 5.0}, {""rotulo"": ""Cumprimento de prazo"", ""nota"": 4.7}, {""rotulo"": ""Comunicação"", ""nota"": 5.0}, {""rotulo"": ""Documentação entregue"", ""nota"": 4.7}]"
av-044;empresa;realizada;PS;Priscila Costa Silva;Projeto hidrossanitário predial;4.0;16/08/2026;Entregou no prazo, com memorial claro e ART registrada.;nao;u-emp-demo;[]
av-045;empresa;realizada;LA;Leonardo Carvalho Almeida;Licenciamento ambiental de porto fluvial;5.0;06/07/2026;Recomendo: seguro nas decisões e cuidadoso com normas.;nao;u-emp-demo;[]
av-046;empresa;realizada;FT;Fábio Soares Teixeira;Laudo de estrutura de concreto;4.0;05/06/2026;Recomendo: seguro nas decisões e cuidadoso com normas.;nao;u-emp-demo;[]
av-047;empresa;realizada;IO;Isabela Barbosa Oliveira;Laudo de instalações elétricas;5.0;08/05/2026;Muito técnico e disponível para reuniões.;nao;u-emp-demo;[]
av-048;empresa;realizada;FB;Fábio Oliveira Barbosa;Inspeção de vasos de pressão;5.0;01/04/2026;Acompanhou a obra de perto e registrou tudo.;nao;u-emp-demo;[]
av-049;empresa;realizada;VD;Vanessa Teixeira Dias;Estudo de impacto de loteamento;4.0;10/03/2026;Entregou no prazo, com memorial claro e ART registrada.;nao;u-emp-demo;[]
av-050;empresa;realizada;AT;Ana Menezes Teixeira;Plano de gerenciamento de resíduos;5.0;12/02/2026;Acompanhou a obra de perto e registrou tudo.;nao;u-emp-demo;[]
av-051;empresa;realizada;TS;Tatiane Vieira Soares;Projeto de contenção em encosta;4.0;02/08/2026;Recomendo: seguro nas decisões e cuidadoso com normas.;nao;u-emp-demo;[]
